단지명,거래구분,전용면적(㎡),시군구,번지,계약년월,건축년도,평균 보증금(만원),평균 월세금(만원)
성림(390-5),월세,72,서울특별시 동대문구 장안동,390-5,202504,2003,20000,60
푸른마을아파트101동~111동,전세,59,서울특별시 강남구 일원동,719,202504,1994,70000,0
개포한신,전세,82,서울특별시 강남구 일원동,615-1,202504,1984,50000,0
DMC우방,전세,84,서울특별시 은평구 증산동,244,202504,2000,60000,0
해주드림빌,전세,78,서울특별시 은평구 녹번동,279-1,202504,2001,42000,0
현대그린1,전세,84,서울특별시 강남구 도곡동,964,202504,2006,87000,0
상림마을7단지아이파크(709~712동)BL1-10,전세,101,서울특별시 은평구 진관동,12,202504,2008,58000,0
힐데스하임,전세,39,서울특별시 은평구 진관동,64,202504,2017,40000,0
서울숲2차푸르지오,전세,59,서울특별시 성동구 금호동4가,235,202504,2012,79000,0
장안동하트리움,월세,36,서울특별시 동대문구 장안동,465-4,202504,2025,17567,56
미주,월세,101,서울특별시 동대문구 청량리동,235-1,202504,1978,6500,125
홍릉동부,전세,84,서울특별시 동대문구 청량리동,212,202504,2001,43750,0
현대홈타운2,전세,59,서울특별시 동작구 대방동,506,202504,1999,47500,0
목동힐스테이트,월세,113,서울특별시 양천구 신정동,1323,202504,2016,80000,150
상아1차아파트,전세,84,서울특별시 도봉구 창동,299,202504,1987,34000,0
북한산아이파크5차,전세,119,서울특별시 도봉구 창동,825,202504,2004,57000,0
어울채,전세,39,서울특별시 광진구 자양동,680-63,202504,2024,95333,0
DMC아트포레자이,전세,59,서울특별시 은평구 수색동,189,202504,2023,55833,0
DMCSKVIEW,월세,84,서울특별시 은평구 수색동,418,202504,2023,15000,300
반포써밋,월세,84,서울특별시 서초구 반포동,1342,202504,2018,20000,510
신반포4,전세,100,서울특별시 서초구 잠원동,70,202504,1979,72667,0
대림아파트,전세,59,서울특별시 동작구 대방동,501,202504,1993,52500,0
화양현대,전세,84,서울특별시 광진구 화양동,234,202504,1999,61500,0
석촌호수효성해링턴타워,월세,15,서울특별시 송파구 석촌동,24-3,202504,2015,13667,47
두산위브트레지움,전세,59,서울특별시 동작구 사당동,1131,202504,2011,73000,0
코오롱,전세,52,서울특별시 서초구 우면동,70,202504,1994,53333,0
삼성,전세,84,서울특별시 중구 신당동,843,202504,1999,63000,0
가우디캐슬,전세,28,서울특별시 동대문구 용두동,104-34,202504,2019,25000,0
사당자이,전세,60,서울특별시 동작구 사당동,1139,202504,1999,52000,0
은빛1단지,전세,49,서울특별시 노원구 상계동,1255,202504,1998,26000,0
목동신시가지3,전세,145,서울특별시 양천구 목동,903,202504,1986,152000,0
목동신시가지3,전세,64,서울특별시 양천구 목동,903,202504,1986,62250,0
성원2,전세,59,서울특별시 양천구 목동,709-2,202504,2000,41667,0
우성,전세,84,서울특별시 양천구 목동,200,202504,1992,63000,0
롯데캐슬위너,전세,127,서울특별시 양천구 목동,956,202504,2005,97000,0
대림(169-8),전세,84,서울특별시 동작구 사당동,169-8,202504,1990,63500,0
방배래미안타워,전세,103,서울특별시 서초구 방배동,485-3,202504,2005,95000,0
상계주공10(고층),전세,49,서울특별시 노원구 상계동,666,202504,1988,24667,0
인왕산한신휴플러스,전세,84,서울특별시 서대문구 홍제동,469,202504,2009,50000,0
목동센트럴아이파크위브2단지,전세,59,서울특별시 양천구 신월동,1076,202504,2020,60000,0
홍제한양,전세,84,서울특별시 서대문구 홍제동,82,202504,1993,49333,0
서울휘경행복아파트,월세,14,서울특별시 동대문구 휘경동,376,202504,2021,3570,15
래미안방배아트힐(1008-2),전세,114,서울특별시 서초구 방배동,1008-2,202504,2004,120000,0
삼성다빈치(917-14),월세,14,서울특별시 강서구 화곡동,917-14,202504,2015,6733,24
한울아파트,전세,29,서울특별시 강서구 화곡동,899-8,202504,2018,19780,0
중계무지개,월세,39,서울특별시 노원구 중계동,512,202504,1991,2667,73
성원,월세,84,서울특별시 도봉구 쌍문동,53,202504,1989,9000,105
중계무지개,전세,49,서울특별시 노원구 중계동,512,202504,1991,26083,0
중계무지개,전세,39,서울특별시 노원구 중계동,512,202504,1991,20757,0
상계주공13(고층),전세,58,서울특별시 노원구 상계동,637,202504,1989,25000,0
상계주공9(고층),월세,66,서울특별시 노원구 상계동,670,202504,1988,10000,100
한양1차(영동한양),전세,63,서울특별시 강남구 압구정동,490,202504,1977,65000,0
래미안솔베뉴,월세,59,서울특별시 강동구 명일동,359,202504,2019,44000,86
방배아트자이,전세,84,서울특별시 서초구 방배동,3278,202504,2018,116000,0
방배아트자이,전세,126,서울특별시 서초구 방배동,3278,202504,2018,160000,0
휘경베스트빌현대,전세,84,서울특별시 동대문구 휘경동,52,202504,2000,49000,0
이수힐스테이트,전세,84,서울특별시 동작구 동작동,333,202504,2013,90000,0
남산대림,전세,134,서울특별시 용산구 이태원동,729,202504,1994,79800,0
한솔마을,월세,84,서울특별시 강남구 일원동,731,202504,1994,53750,96
삼익,월세,49,서울특별시 강남구 수서동,708,202504,1992,20000,120
"상계주공15(고층,공무원임대)",월세,41,서울특별시 노원구 상계동,624,202504,1988,7196,19
"상계주공15(고층,공무원임대)",월세,49,서울특별시 노원구 상계동,624,202504,1988,7194,30
"상계주공15(고층,공무원임대)",전세,41,서울특별시 노원구 상계동,624,202504,1988,13229,0
선사현대아파트,전세,114,서울특별시 강동구 암사동,509,202504,2000,74000,0
롯데캐슬퍼스트,전세,59,서울특별시 강동구 암사동,414-2,202504,2008,63667,0
롯데캐슬퍼스트,전세,133,서울특별시 강동구 암사동,414-2,202504,2008,90000,0
포도하우스,월세,13,서울특별시 은평구 대조동,15-89,202504,2013,1000,42
유진아이디움,전세,14,서울특별시 은평구 대조동,197-1,202504,2019,15000,0
녹번역e편한세상캐슬,전세,59,서울특별시 은평구 응암동,769,202504,2021,59857,0
더스타일하우스디센트럴,월세,16,서울특별시 서대문구 충정로3가,480,202504,2020,3059,20
e편한세상신촌3단지,전세,59,서울특별시 서대문구 북아현동,1013,202504,2018,78000,0
홍제한양,월세,60,서울특별시 서대문구 홍제동,82,202504,1993,6000,100
청구(366),전세,115,서울특별시 노원구 중계동,366,202504,1993,85000,0
중계3벽산,전세,59,서울특별시 노원구 중계동,592,202504,1999,40000,0
주공5,월세,44,서울특별시 노원구 중계동,359-1,202504,1992,2000,82
공덕현대,전세,84,서울특별시 마포구 공덕동,370-9,202504,1989,55000,0
비체힐리버뷰,월세,19,서울특별시 마포구 마포동,449,202504,2012,1000,60
대흥동태영아파트,전세,84,서울특별시 마포구 대흥동,660,202504,1999,85000,0
풍림아파트A,전세,59,서울특별시 노원구 공릉동,725,202504,2001,41000,0
대동아파트2,전세,84,서울특별시 노원구 공릉동,380-1,202504,1999,37590,0
강동리버스트8단지,전세,59,서울특별시 강동구 강일동,66,202504,2021,26178,0
마포자이더센트리지(102동~112동),전세,84,서울특별시 마포구 염리동,533,202504,2022,102167,0
마포프레스티지자이,전세,84,서울특별시 마포구 염리동,532,202504,2021,116167,0
신촌숲아이파크,전세,59,서울특별시 마포구 신수동,462,202504,2019,83000,0
길동생활B,월세,33,서울특별시 강동구 길동,368-7,202504,2024,8825,66
길동생활B,월세,36,서울특별시 강동구 길동,368-7,202504,2024,9960,64
삼호4,전세,50,서울특별시 노원구 월계동,12,202504,1987,22900,0
미성,전세,33,서울특별시 노원구 월계동,13,202504,1986,11132,0
미성,전세,50,서울특별시 노원구 월계동,13,202504,1986,21222,0
대동,전세,59,서울특별시 노원구 월계동,925,202504,1997,35000,0
풍림아이원,전세,84,서울특별시 노원구 월계동,944,202504,2005,49250,0
한신,전세,84,서울특별시 도봉구 도봉동,30-1,202504,1995,36800,0
서원,월세,49,서울특별시 도봉구 도봉동,641,202504,1996,2000,70
중앙하이츠,전세,134,서울특별시 양천구 신정동,1314,202504,2010,70000,0
이펜하우스3단지,월세,59,서울특별시 양천구 신정동,1316,202504,2011,4448,38
목동신시가지10,전세,53,서울특별시 양천구 신정동,311,202504,1987,38375,0
목동신시가지12,전세,71,서울특별시 양천구 신정동,326,202504,1988,53250,0
