단지명,전용면적(㎡),거래구분,번지,평균 거래금액(만원),시군구,계약년월,건축년도
개포한신,107,매매,615-1,252000,서울특별시 강남구 일원동,202505,개인
개화,101,매매,819,80067,서울특별시 강서구 방화동,202505,개인
개화,133,매매,819,92000,서울특별시 강서구 방화동,202505,개인
거성파스텔,59,매매,90-1,94000,서울특별시 영등포구 양평동3가,202505,개인
거성파스텔,131,매매,90-1,137500,서울특별시 영등포구 양평동3가,202505,개인
거성푸르뫼,59,매매,60-101,40000,서울특별시 구로구 개봉동,202505,개인
거성푸르뫼2,59,매매,60-82,40000,서울특별시 구로구 개봉동,202505,개인
거성학마을아파트,59,매매,701-15,44800,서울특별시 도봉구 방학동,202505,개인
거성학마을아파트,84,매매,701-15,55000,서울특별시 도봉구 방학동,202505,개인
거여1단지,39,매매,290,63500,서울특별시 송파구 거여동,202505,개인
거여1단지,49,매매,290,80250,서울특별시 송파구 거여동,202505,개인
거여1단지,59,매매,290,86333,서울특별시 송파구 거여동,202505,개인
거여4단지,39,매매,293,63000,서울특별시 송파구 거여동,202505,개인
거여4단지,49,매매,293,79250,서울특별시 송파구 거여동,202505,개인
거여4단지,59,매매,293,91500,서울특별시 송파구 거여동,202505,개인
거여5단지,59,매매,294,80333,서울특별시 송파구 거여동,202505,개인
거여5단지,84,매매,294,100000,서울특별시 송파구 거여동,202505,개인
거장카운티,38,매매,182,49000,서울특별시 은평구 녹번동,202505,개인
건영,32,매매,414,56775,서울특별시 동작구 상도동,202505,개인
건영,45,매매,271-3,40100,서울특별시 노원구 하계동,202505,개인
건영,74,매매,271-3,74800,서울특별시 노원구 하계동,202505,개인
건영,84,매매,90,96000,서울특별시 성동구 송정동,202505,개인
건영,84,매매,928,71500,서울특별시 양천구 목동,202505,개인
건영,89,매매,364,93500,서울특별시 영등포구 신길동,202505,개인
건영,114,매매,414,122250,서울특별시 동작구 상도동,202505,개인
건영(103동-106동),84,매매,324,106250,서울특별시 동작구 노량진동,202505,개인
건영1,84,매매,1,65000,서울특별시 중랑구 상봉동,202505,개인
건영1,84,매매,72-3,130000,서울특별시 송파구 문정동,202505,개인
건영2,75,매매,515-2,65000,서울특별시 노원구 중계동,202505,개인
건영2,84,매매,515-2,67000,서울특별시 노원구 중계동,202505,개인
건영2차아파트,74,매매,63,68000,서울특별시 중랑구 상봉동,202505,개인
건영2차아파트,84,매매,63,72000,서울특별시 중랑구 상봉동,202505,개인
건영3,84,매매,360-15,117333,서울특별시 노원구 중계동,202505,개인
건영4,84,매매,1702-1,64500,서울특별시 관악구 신림동,202505,개인
건영장미아파트,59,매매,744,51500,서울특별시 노원구 공릉동,202505,개인
건일팰리스,84,매매,1-52,61000,서울특별시 서대문구 북아현동,202505,개인
경남,44,매매,73,24500,서울특별시 도봉구 쌍문동,202505,개인
경남,46,매매,73,30800,서울특별시 도봉구 쌍문동,202505,개인
경남,50,매매,505,52000,서울특별시 노원구 중계동,202505,개인
경남,52,매매,226,39000,서울특별시 중랑구 망우동,202505,개인
경남,59,매매,226,42500,서울특별시 중랑구 망우동,202505,개인
경남,59,매매,641,92700,서울특별시 광진구 자양동,202505,개인
경남,59,매매,67-1,85000,서울특별시 영등포구 신길동,202505,개인
경남,59,매매,967,183000,서울특별시 강남구 도곡동,202505,개인
경남,74,매매,505,72500,서울특별시 노원구 중계동,202505,개인
경남,81,매매,226,59000,서울특별시 중랑구 망우동,202505,개인
경남,84,매매,67-1,93000,서울특별시 영등포구 신길동,202505,개인
경남,114,매매,505,97000,서울특별시 노원구 중계동,202505,개인
경남1,123,매매,649,325000,서울특별시 강남구 개포동,202505,개인
경남2,71,매매,306,54000,서울특별시 구로구 고척동,202505,개인
경남2차,182,매매,649,340000,서울특별시 강남구 개포동,202505,개인
경남아너스빌,59,매매,1529,72962,서울특별시 중랑구 면목동,202505,개인
경남아너스빌,59,매매,46-1,94933,서울특별시 영등포구 영등포동7가,202505,개인
경남아너스빌,59,매매,51-1,79500,서울특별시 영등포구 양평동4가,202505,개인
경남아너스빌,59,매매,666-28,89000,서울특별시 광진구 자양동,202505,개인
경남아너스빌,60,매매,224,50500,서울특별시 은평구 구산동,202505,개인
경남아너스빌,70,매매,51-1,82500,서울특별시 영등포구 양평동4가,202505,개인
경남아너스빌,81,매매,722,152000,서울특별시 강남구 역삼동,202505,개인
경남아너스빌,81,매매,796,68000,서울특별시 강북구 미아동,202505,개인
경남아너스빌,84,매매,1307,126500,서울특별시 양천구 신정동,202505,개인
경남아너스빌,84,매매,1529,77850,서울특별시 중랑구 면목동,202505,개인
경남아너스빌,84,매매,224,57050,서울특별시 은평구 구산동,202505,개인
경남아너스빌,84,매매,722,149500,서울특별시 강남구 역삼동,202505,개인
경남아너스빌,96,매매,1307,133833,서울특별시 양천구 신정동,202505,개인
경남아너스빌,122,매매,224,70000,서울특별시 은평구 구산동,202505,개인
경남아너스빌(1356-0),114,매매,1356,76000,서울특별시 강북구 미아동,202505,개인
경남아너스빌1차,59,매매,1134,78850,서울특별시 동작구 사당동,202505,개인
경남아너스빌201동,84,매매,1456-2,178000,서울특별시 서초구 서초동,202505,개인
경동윈츠리버,56,매매,484,93250,서울특별시 동작구 본동,202505,개인
경지Arium,13,매매,413-11,17000,서울특별시 강동구 길동,202505,개인
경지Arium,14,매매,413-11,20000,서울특별시 강동구 길동,202505,개인
경향파크,84,매매,162-1,44500,서울특별시 은평구 구산동,202505,개인
경향파크,124,매매,162-1,59000,서울특별시 은평구 구산동,202505,개인
경희궁롯데캐슬,59,매매,89,140000,서울특별시 종로구 무악동,202505,개인
경희궁롯데캐슬,84,매매,89,168500,서울특별시 종로구 무악동,202505,개인
경희궁의아침3단지,174,매매,72,220000,서울특별시 종로구 내수동,202505,개인
경희궁자이(2단지),84,매매,199,248000,서울특별시 종로구 홍파동,202505,개인
경희궁자이(2단지),138,매매,199,330000,서울특별시 종로구 홍파동,202505,개인
경희궁자이(3단지),84,매매,233,232286,서울특별시 종로구 평동,202505,개인
경희궁자이(4단지),45,매매,126,115000,서울특별시 종로구 교북동,202505,개인
계룡아파트,59,매매,332-14,48000,서울특별시 금천구 독산동,202505,개인
계룡아파트,84,매매,332-14,60000,서울특별시 금천구 독산동,202505,개인
고덕 아이파크,59,매매,499,146450,서울특별시 강동구 고덕동,202505,개인
고덕 아이파크,84,매매,499,171000,서울특별시 강동구 고덕동,202505,개인
고덕 아이파크,114,매매,499,184500,서울특별시 강동구 고덕동,202505,개인
고덕 아이파크,115,매매,499,200000,서울특별시 강동구 고덕동,202505,개인
고덕 아이파크,145,매매,499,224000,서울특별시 강동구 고덕동,202505,개인
고덕 아이파크,177,매매,499,245000,서울특별시 강동구 고덕동,202505,개인
고덕그라시움,59,매매,693,160962,서울특별시 강동구 고덕동,202505,개인
고덕그라시움,73,매매,693,169412,서울특별시 강동구 고덕동,202505,개인
고덕그라시움,84,매매,693,208083,서울특별시 강동구 고덕동,202505,개인
고덕그라시움,97,매매,693,247000,서울특별시 강동구 고덕동,202505,개인
고덕롯데캐슬베네루체,59,매매,514,125440,서울특별시 강동구 상일동,202505,개인
고덕롯데캐슬베네루체,84,매매,514,146571,서울특별시 강동구 상일동,202505,개인
고덕리엔파크3단지,59,매매,490,89400,서울특별시 강동구 상일동,202505,개인
고덕센트럴IPARK,59,매매,513,138800,서울특별시 강동구 상일동,202505,개인
고덕센트럴IPARK,84,매매,513,160200,서울특별시 강동구 상일동,202505,개인
고덕센트럴푸르지오,59,매매,210-1,116473,서울특별시 강동구 고덕동,202505,개인
고덕숲아이파크,59,매매,515,124333,서울특별시 강동구 상일동,202505,개인
고덕아르테온,59,매매,519,151307,서울특별시 강동구 상일동,202505,개인
고덕아르테온,84,매매,519,181378,서울특별시 강동구 상일동,202505,개인
고덕아르테온,114,매매,519,214617,서울특별시 강동구 상일동,202505,개인
고덕자이,59,매매,521,136050,서울특별시 강동구 상일동,202505,개인
고덕자이,74,매매,521,148750,서울특별시 강동구 상일동,202505,개인
고덕자이,84,매매,521,161750,서울특별시 강동구 상일동,202505,개인
고덕주공9,83,매매,257,134000,서울특별시 강동구 명일동,202505,개인
고운아파트,59,매매,484,43000,서울특별시 구로구 개봉동,202505,개인
고척LIG리가1차,84,매매,340,82000,서울특별시 구로구 고척동,202505,개인
고척LIG리가2차,59,매매,340-1,74500,서울특별시 구로구 고척동,202505,개인
고척파크푸르지오,59,매매,339,83700,서울특별시 구로구 고척동,202505,개인
고척파크푸르지오,84,매매,339,103267,서울특별시 구로구 고척동,202505,개인
고척파크푸르지오,114,매매,339,118000,서울특별시 구로구 고척동,202505,개인
골드클래스,59,매매,414-5,52000,서울특별시 강동구 길동,202505,개인
공덕1삼성래미안,114,매매,371,171500,서울특별시 마포구 공덕동,202505,개인
공덕2삼성래미안,59,매매,43,135900,서울특별시 마포구 공덕동,202505,개인
공덕2삼성래미안,84,매매,43,157100,서울특별시 마포구 공덕동,202505,개인
공덕3삼성래미안,59,매매,457,157000,서울특별시 마포구 공덕동,202505,개인
공덕3삼성래미안,84,매매,457,183500,서울특별시 마포구 공덕동,202505,개인
공덕SK리더스뷰,84,매매,479,192000,서울특별시 마포구 공덕동,202505,개인
공덕아이파크,84,매매,174,154500,서울특별시 마포구 신공덕동,202505,개인
공덕아이파크,114,매매,174,179000,서울특별시 마포구 신공덕동,202505,개인
공덕자이,59,매매,800,172850,서울특별시 마포구 아현동,202505,개인
공덕자이,84,매매,800,210300,서울특별시 마포구 아현동,202505,개인
공덕자이,114,매매,800,215000,서울특별시 마포구 아현동,202505,개인
공덕파크자이,84,매매,476,191167,서울특별시 마포구 공덕동,202505,개인
공덕현대,84,매매,370-9,130000,서울특별시 마포구 공덕동,202505,개인
공릉우성아파트,84,매매,738,72000,서울특별시 노원구 공릉동,202505,개인
공작,126,매매,21-2,350000,서울특별시 영등포구 여의도동,202505,개인
공항동부센트레빌,84,매매,1374,80000,서울특별시 강서구 공항동,202505,개인
관악동부센트레빌,59,매매,1719,86433,서울특별시 관악구 봉천동,202505,개인
관악드림(동아),59,매매,1712,82625,서울특별시 관악구 봉천동,202505,개인
관악드림(동아),60,매매,1712,83900,서울특별시 관악구 봉천동,202505,개인
관악드림(동아),84,매매,1712,92571,서울특별시 관악구 봉천동,202505,개인
