단지명,거래구분,전용면적(㎡),시군구,번지,계약년월,건축년도,평균 거래금액(만원)
강변금호타운,매매,84,서울특별시 성동구 성수동2가,830,202505,1994,284000
강변래미안,매매,55,서울특별시 영등포구 당산동,376,202505,2002,118167
강변래미안,매매,79,서울특별시 영등포구 당산동,376,202505,2002,124700
강변래미안,매매,108,서울특별시 영등포구 당산동,376,202505,2002,161250
강변삼부아파트,매매,81,서울특별시 강남구 삼성동,99-12,202505,2000,199500
강변청구3,매매,84,서울특별시 성동구 성수동2가,745,202505,1995,250000
강변한솔솔파크,매매,84,서울특별시 강서구 염창동,300,202505,2005,104733
강변현대,매매,78,서울특별시 성동구 성수동2가,400,202505,1994,250000
강변힐스테이트,매매,59,서울특별시 마포구 현석동,222,202505,2004,120500
강변힐스테이트,매매,84,서울특별시 마포구 현석동,222,202505,2004,141750
강변힐스테이트,매매,114,서울특별시 마포구 현석동,222,202505,2004,154000
강서뉴타워,매매,84,서울특별시 강서구 화곡동,1071-19,202505,2013,69000
강서동도센트리움,매매,14,서울특별시 강서구 화곡동,1161,202505,2012,9100
강서쌍용예가,매매,84,서울특별시 강서구 염창동,308,202505,2014,97000
강서아이파크,매매,82,서울특별시 강서구 화곡동,980-21,202505,2005,69500
강서월드메르디앙,매매,112,서울특별시 강서구 내발산동,659-1,202505,2006,109500
강서한강자이,매매,127,서울특별시 강서구 가양동,1500,202505,2013,169700
강서힐스테이트,매매,59,서울특별시 강서구 화곡동,1165,202505,2015,112250
강서힐스테이트,매매,84,서울특별시 강서구 화곡동,1165,202505,2015,134500
강서힐스테이트,매매,128,서울특별시 강서구 화곡동,1165,202505,2015,150000
강일리버파크2단지,매매,84,서울특별시 강동구 강일동,668,202505,2009,91300
강일리버파크3단지,매매,84,서울특별시 강동구 강일동,674,202505,2009,93000
강일리버파크5단지,매매,84,서울특별시 강동구 강일동,670,202505,2009,99500
강일리버파크6단지,매매,84,서울특별시 강동구 강일동,684,202505,2009,102700
강일리버파크7단지,매매,84,서울특별시 강동구 강일동,686,202505,2009,103000
강촌,매매,59,서울특별시 용산구 이촌동,402,202505,1998,186250
개나리래미안,매매,59,서울특별시 강남구 역삼동,754,202505,2006,260000
개나리래미안,매매,129,서울특별시 강남구 역삼동,754,202505,2006,338000
개나리푸르지오,매매,84,서울특별시 강남구 역삼동,755-1,202505,2006,325000
개나리푸르지오,매매,147,서울특별시 강남구 역삼동,755-1,202505,2006,371000
개봉동현대아이파크,매매,59,서울특별시 구로구 개봉동,489,202505,2006,74025
개봉푸르지오,매매,84,서울특별시 구로구 개봉동,492,202505,2014,89000
개봉푸르지오,매매,119,서울특별시 구로구 개봉동,492,202505,2014,115000
개포6차우성아파트1동~8동,매매,54,서울특별시 강남구 개포동,658-1,202505,1987,194000
개포래미안포레스트,매매,49,서울특별시 강남구 개포동,1282,202505,2020,215000
개포래미안포레스트,매매,59,서울특별시 강남구 개포동,1282,202505,2020,258667
개포래미안포레스트,매매,84,서울특별시 강남구 개포동,1282,202505,2020,314562
개포우성1,매매,127,서울특별시 강남구 대치동,503,202505,1983,487500
개포우성1,매매,158,서울특별시 강남구 대치동,503,202505,1983,547000
개포우성3차,매매,104,서울특별시 강남구 개포동,652,202505,1984,284000
개포자이프레지던스,매매,59,서울특별시 강남구 개포동,1284,202505,2023,263600
개포자이프레지던스,매매,78,서울특별시 강남구 개포동,1284,202505,2023,340000
개포자이프레지던스,매매,84,서울특별시 강남구 개포동,1284,202505,2023,375333
